gallery_idx,album_label,nn_distance,album_image_count
288,407,0.517629,2
289,353,0.579647,5
290,19,0.464426,18
291,214,0.530409,3
292,36,0.609621,4
293,267,0.51453,2
294,553,0.655236,14
295,289,0.50869,24
296,34,0.510849,3
297,75,0.735489,2
298,133,0.716423,2
299,770,0.705007,9
300,365,0.733781,12
301,628,0.466685,13
302,772,0.716423,2
303,670,0.626004,4
304,850,0.677307,3
305,485,0.671958,5
306,256,0.577012,2
307,439,0.726568,2
308,646,0.457727,4
309,691,0.946916,2
310,626,0.946916,2
311,699,0.507788,3
312,342,0.281816,4
313,363,0.666456,20
314,185,0.666456,2
315,416,0.675339,3
316,732,0.513009,2
317,354,0.829361,15
318,144,0.477455,6
319,677,0.540424,6
320,221,0.640714,5
321,395,0.605816,2
322,795,0.4688,2
323,64,0.829361,3
324,366,0.826255,2
325,314,0.553428,5
326,793,0.729637,12
327,666,0.696106,4
328,429,0.696106,5
329,100,0.449491,2
330,336,0.507861,9
331,550,0.551513,4
332,437,0.560649,8
333,521,0.506975,5
334,612,0.493206,2
335,448,0.438258,5
336,495,0.506222,15
337,154,0.542424,3
338,849,0.477464,2
339,743,0.53433,3
340,160,0.563764,2
341,679,0.604733,8
342,456,0.51693,4
343,84,0.443727,5
344,321,0.485074,3
345,644,0.475546,2
346,423,0.369646,6
347,52,0.618928,30
348,207,0.576971,14
349,681,0.551914,5
350,661,0.423913,9
351,430,0.60107,2
352,777,0.639449,12
353,786,0.786975,7
354,833,0.485265,9
355,303,0.786975,2
356,591,0.724259,14
357,755,0.581872,7
358,804,0.564615,11
359,33,0.645412,3
360,714,0.61234,26
361,535,0.404604,17
362,598,0.714236,9
363,662,0.759175,2
364,443,0.759175,3
365,473,0.60085,2
366,397,0.394219,2
367,639,0.450166,3
368,515,0.3799,4
369,698,0.595293,3
370,769,0.393475,4
371,563,0.310084,2
372,528,0.41494,5
373,385,0.537702,2
374,58,0.58886,4
375,853,0.657157,2
376,413,0.640487,2
377,176,0.615932,27
378,750,0.504908,5
379,524,0.807822,3
380,414,0.707534,9
381,560,0.473668,2
382,532,0.536743,2
383,717,0.807822,2
384,281,0.885278,6
385,589,0.677307,23
386,261,0.374146,3
387,178,0.36626,32
388,693,0.596422,11
389,723,0.46191,26
390,821,0.778013,50
391,842,0.566849,31
392,836,0.45711,26
393,198,0.485753,20
394,204,0.778013,10
395,785,0.885278,5
396,20,0.401232,3
397,335,0.819697,2
398,80,0.819697,3
399,249,0.68,2
400,622,0.654691,2
401,794,0.647729,2
402,803,0.682309,2
403,398,0.584557,7
404,251,0.635122,2
405,268,0.768156,3
406,817,0.63663,2
407,266,0.670539,4
408,721,0.741218,4
409,39,0.536524,2
410,431,0.682309,2
411,487,0.809796,3
412,322,0.713053,2
413,789,0.670539,2
414,840,0.490745,11
415,227,0.543414,3
416,631,0.358675,2
417,226,0.750839,2
418,279,0.36079,4
419,759,0.610557,3
420,469,0.693913,3
421,275,0.734275,2
422,334,0.71052,2
423,700,0.638428,2
424,165,0.449575,5
425,724,0.660263,2
426,708,0.623052,2
427,173,0.475342,10
428,812,0.535614,3
429,202,0.613964,8
430,844,0.411425,2
431,286,0.433089,23
432,841,0.44983,3
433,127,0.437762,3
434,748,0.593029,2
435,81,0.281587,39
436,725,0.646278,2
437,672,0.702908,18
438,187,0.456748,35
439,372,0.610557,2
440,375,0.521167,2
441,566,0.401325,35
442,145,0.486109,2
443,92,0.535388,4
444,253,0.487253,3
445,547,0.491541,2
446,340,0.570411,8
447,709,0.537578,4
448,246,0.656988,5
449,15,0.636395,12
450,642,0.495008,30
451,137,0.66633,2
452,727,0.463639,2
453,736,0.693332,2
454,24,0.664768,13
455,682,0.457727,6
456,283,0.725436,3
457,744,0.560649,3
458,492,0.631318,2
459,427,0.622565,2
460,588,0.725436,2
461,471,0.68,19
462,391,0.637606,2
463,89,0.596207,6
464,673,0.53023,3
465,297,0.534465,4
466,635,0.501279,3
467,96,0.599756,2
468,418,0.599005,2
469,484,0.50513,2
470,733,0.558722,2
471,753,0.497367,2
472,358,0.591846,3
473,121,0.617558,7
474,343,0.49973,2
475,461,0.573552,2
476,299,0.599756,2
477,140,0.766297,2
478,581,0.686204,2
479,583,0.663985,2
480,126,0.599005,2
481,460,0.656921,2
482,294,0.430419,4
483,381,0.595559,19
484,663,0.397418,6
485,12,0.695673,14
486,70,0.396238,3
487,787,0.956096,34
488,648,0.956096,2
489,468,0.500582,15
490,848,0.639415,2
491,614,0.59817,4
492,290,0.701451,4
493,690,0.503293,2
494,808,0.551858,19
495,544,0.916754,14
496,150,0.339633,4
497,498,0.658619,2
498,0,0.560181,3
499,211,0.429495,15
500,539,0.454093,26
501,132,0.497511,19
502,823,0.313307,4
503,42,0.451774,8
504,773,0.998906,3
505,615,0.735489,5
506,269,0.998906,2
507,378,0.475846,2
508,61,0.331598,3
509,116,0.52934,3
510,606,0.73471,7
511,156,0.520584,5
512,382,0.695673,2
513,824,0.359876,2
514,5,0.546894,2
515,742,0.540205,2
516,45,0.45249,6
517,765,0.551881,3
518,506,0.288725,12
519,94,0.587961,14
520,208,0.311322,10
521,586,0.356138,2
522,245,0.245298,13
523,464,0.730004,8
524,157,0.681569,2
525,203,0.393475,4
526,346,0.521573,4
527,643,0.6099,18
528,796,0.576422,2
529,330,0.470767,2
530,312,0.700146,2
531,119,0.624708,2
532,767,0.541523,26
533,482,0.610176,4
534,676,0.45229,6
535,180,0.951395,2
536,512,0.951395,4
537,55,0.646023,9
538,113,0.848207,10
539,401,0.521573,5
540,811,0.546645,4
541,425,0.415448,9
542,200,0.623633,3
543,85,0.66633,2
544,224,0.556371,2
545,632,0.848207,2
546,54,0.633689,2
547,77,0.610176,2
548,383,0.639042,13
549,728,0.999988,38
550,10,0.369211,9
551,153,0.702908,2
552,519,0.318737,2
553,749,0.530573,2
554,350,0.750839,4
555,104,0.603138,3
556,790,0.320204,24
557,259,0.557439,3
558,835,0.387246,35
559,572,0.999988,2
560,822,0.527371,2
561,458,0.588771,2
562,466,0.422229,31
563,347,0.409942,4
564,400,0.577854,9
565,543,0.621419,3
566,369,0.6893,2
567,459,0.451299,3
568,845,0.422184,8
569,76,0.786891,3
570,608,0.61161,29
571,345,0.615401,2
572,149,0.615401,3
573,579,0.655236,17
574,502,0.510849,5
575,659,0.451299,25
576,114,0.485061,2
577,29,0.446279,33
578,258,0.63726,18
579,396,0.639449,2
580,110,0.674686,2
581,265,0.576434,3
582,445,0.562391,9
583,578,0.511335,6
584,166,0.576434,17
585,4,0.522518,2
586,370,0.640572,14
587,536,0.640572,2
588,843,0.971469,3
589,730,0.971469,20
590,2,0.401998,21
591,50,0.473668,2
592,505,0.538935,4
593,741,0.61161,2
594,551,0.569841,7
595,500,0.659414,3
596,467,0.319006,6
597,718,0.716935,3
598,558,0.716935,3
599,525,0.495008,2
600,585,0.913167,8
601,511,0.913167,7
602,554,0.40503,9
603,564,0.68745,2
604,243,0.5471,3
605,766,0.668023,2
606,633,0.447749,2
607,577,0.691416,2
608,175,0.448541,2
609,296,0.416369,3
610,779,0.721991,2
611,654,0.574347,2
612,333,0.305164,10
613,292,0.506222,2
614,161,0.263682,2
615,509,0.31772,2
616,318,0.38656,2
617,561,0.468356,2
618,815,0.561922,2
619,444,0.554616,5
620,837,0.556864,4
621,56,0.606931,2
622,218,0.367495,14
623,242,0.340119,2
624,800,0.4853,4
625,325,0.541961,6
626,373,0.462446,2
627,538,0.495851,16
628,764,0.267075,6
629,138,0.491692,6
630,810,0.672667,4
631,210,0.38197,6
632,457,0.591964,2
633,230,0.825062,2
634,62,0.478426,4
635,364,0.580168,2
636,184,0.428129,2
637,263,0.535973,2
638,328,0.64978,2
639,237,0.535973,2
640,658,0.589542,38
641,196,0.667438,9
642,362,0.532958,4
643,287,0.657157,5
644,798,0.350484,14
645,573,0.371462,14
646,28,0.671334,2
647,428,0.419135,4
648,255,0.398748,2
649,164,0.589542,2
650,44,0.4688,11
651,687,0.600856,8
652,402,0.449937,4
653,761,0.212497,16
654,63,0.470767,3
655,624,0.547618,4
656,65,0.571011,2
657,359,0.622737,2
658,209,0.507809,5
659,240,0.42672,12
660,40,0.455543,2
661,47,0.417722,6
662,107,0.29287,9
663,98,0.329373,3
664,51,0.797389,4
665,83,0.373386,6
666,16,0.537739,4
667,630,0.551881,5
668,234,0.541523,7
669,695,0.685154,4
670,854,0.469654,5
671,601,0.456748,7
672,647,0.314038,2
673,775,0.396238,12
674,788,0.482908,7
675,774,0.941261,17
676,656,0.52936,11
677,291,0.534637,2
678,706,0.680949,2
679,599,0.730379,2
680,478,0.635682,2
681,514,0.941261,3
682,675,0.56094,3
683,545,0.306208,2
684,405,0.70409,4
685,320,0.329373,3
686,602,0.505876,11
687,295,0.660937,3
688,179,0.44108,2
689,143,0.456091,2
690,331,0.612193,2
691,26,0.665157,2
692,751,0.69679,2
693,638,0.453094,3
694,235,0.376702,4
695,141,0.634729,6
696,629,0.551292,4
697,32,0.193831,6
698,557,0.475846,5
699,360,0.483932,6
700,740,0.59025,2
701,74,0.485707,35
702,745,0.635176,2
703,483,0.396177,2
704,324,0.296593,13
705,477,0.721991,17
706,72,0.400319,7
707,604,0.491066,2
708,762,0.394138,9
709,419,0.808244,2
710,408,0.24222,8
711,781,0.398307,8
712,194,0.701642,2
713,293,0.441778,5
714,3,0.357475,16
715,392,0.429495,30
716,136,0.692921,22
717,14,0.430844,2
718,650,0.484207,8
719,683,0.778055,28
720,8,0.627233,43
721,213,0.331583,2
722,379,0.724259,2
723,488,0.475948,3
724,832,0.497723,2
725,838,0.605693,20
726,319,0.612294,13
727,183,0.562121,2
728,814,0.645559,2
729,754,0.921754,17
730,341,0.520422,2
731,569,0.382437,4
732,562,0.635176,4
733,705,0.502609,3
734,782,0.786891,5
735,95,0.513452,9
736,737,0.440111,2
737,491,0.626004,2
738,729,0.458802,3
739,231,0.459848,8
740,713,0.537213,2
741,452,0.597868,9
742,819,0.525166,11
743,88,0.482975,8
744,332,0.325848,4
745,307,0.424126,5
746,797,0.47787,4
747,262,0.502981,3
748,556,0.506244,2
749,610,0.62505,2
750,31,0.531846,4
751,568,0.778055,4
752,120,0.736259,25
753,349,0.840556,2
754,574,0.619058,13
755,701,0.688206,29
756,839,0.606459,4
757,388,0.493307,10
758,758,0.428237,6
759,18,0.515212,3
760,692,0.592444,14
761,380,0.587264,2
762,802,0.214493,26
763,493,0.528995,3
764,552,0.255174,2
765,282,0.73002,4
766,1,0.531409,4
767,432,0.401841,2
768,704,0.45711,3
769,771,0.397868,2
770,238,0.591853,2
771,27,0.652124,3
772,302,0.683423,2
773,688,0.536743,2
774,361,0.511565,2
775,818,0.675782,2
776,685,0.459529,4
777,587,0.74074,2
778,168,0.639042,2
779,406,0.314043,9
