model_id,timestamp,recall_at_1,recall_at_5,map_at_5,mrr,num_gallery,num_queries
,2026-03-15T00-45-04,0.38461538461538464,0.38461538461538464,0.38461538461538464,0.40140363570780646,855,13
,2026-03-15T11-36-15,1.0,1.0,1.0,1.0,856,1
,2026-03-15T11-57-11,0.4,0.4,0.4,0.40104120412264166,857,5
,2026-03-15T12-29-56,0.6,0.6,0.6,0.6077798468859921,857,5
,2026-03-15T12-38-32,0.6,0.6,0.6,0.6077798468859921,857,5
,2026-03-15T12-59-40,0.46,0.5,0.4766666666666666,0.5036369824126169,868,50
,2026-03-15T16-32-24,0.44,0.52,0.4706666666666666,0.4958574213544168,868,50
,2026-03-15T19-55-25,0.58,0.72,0.6283333333333334,0.6426462149249972,868,50
,2026-04-04T00-57-40,0.867601246105919,0.8896306186025812,0.8777926123720516,0.8794581546305166,855,4494
,2026-04-04T01-02-36,0.8693813974187806,0.8909657320872274,0.8793428274736685,0.8808285002765631,855,4494
,2026-04-04T01-09-52,0.8724966622162884,0.894971072541166,0.8829216733422341,0.8841051492859899,855,4494
A1-dinov2-cls,2026-03-14T22-54-54,0.8659070990359334,0.9031551270815075,0.8810436751387671,0.883237569622571,855,4564
A1-dinov2-cls-518,2026-03-14T22-59-08,0.8588957055214724,0.8998685363716039,0.8762269938650308,0.8796900740754067,855,4564
A1-dinov2-gem,2026-03-14T22-56-04,0.8347940403155127,0.8871603856266433,0.8566096990943617,0.8594899750616264,855,4564
A1-dinov2-gem-518,2026-03-14T23-02-06,0.8275635407537248,0.8819018404907976,0.8485210341805433,0.8519747871022859,855,4564
A2-openclip,2026-03-14T23-03-17,0.8610867659947414,0.929666958808063,0.8886393514461,0.8926061908073302,855,4564
A3-featureprint,2026-03-14T23-48-28,0.8562664329535495,0.9184925503943909,0.8813467718375694,0.8848589763390234,855,4564
A4-sscd,2026-03-14T23-04-25,0.8720420683610868,0.8983347940403155,0.8835597429155712,0.8851755414734747,855,4564
B1-mobilenet_v3_small-supcon,2026-03-22T00-15-57,0.8470639789658194,0.8840929009640666,0.8614190768331872,0.8647848827832866,855,4564
B2-dinov2-supcon,2026-03-28T21-41-35,0.8659070990359334,0.9011831726555652,0.8805287759275489,0.8828401602541717,855,4564
B2c-dinov2-supcon,2026-03-29T09-21-45,0.8794916739702016,0.9053461875547765,0.8903337715454279,0.8924696073373687,855,4564
B3-sscd-supcon,2026-04-02T23-47-34,0.8604294478527608,0.894829097283085,0.8751095530236634,0.8772362412946413,855,4564
