model_id,recall_at_1,recall_at_5,map_at_5,mrr,num_gallery,num_queries,latency_p50_ms,latency_p95_ms,latency_p99_ms,verdict
B2c-dinov2-supcon,0.8794916739702016,0.9053461875547765,0.8903337715454279,0.8924696073373687,855,4564,,,,fine-tuning likely needed
,0.8724966622162884,0.894971072541166,0.8829216733422341,0.8841051492859899,855,4494,,,,fine-tuning likely needed
A4-sscd,0.8720420683610868,0.8983347940403155,0.8835597429155712,0.8851755414734747,855,4564,5.5039169965311885,6.346875001327135,6.492542001069523,fine-tuning likely needed
A1-dinov2-cls,0.8659070990359334,0.9031551270815075,0.8810436751387671,0.883237569622571,855,4564,4.238541005179286,5.332458997145295,5.375915992772207,fine-tuning likely needed
B2-dinov2-supcon,0.8659070990359334,0.9011831726555652,0.8805287759275489,0.8828401602541717,855,4564,,,,fine-tuning likely needed
A2-openclip,0.8610867659947414,0.929666958808063,0.8886393514461,0.8926061908073302,855,4564,8.035999999265186,8.86016599542927,9.20541599043645,fine-tuning likely needed
B3-sscd-supcon,0.8604294478527608,0.894829097283085,0.8751095530236634,0.8772362412946413,855,4564,,,,fine-tuning likely needed
A1-dinov2-cls-518,0.8588957055214724,0.8998685363716039,0.8762269938650308,0.8796900740754067,855,4564,26.65266599797178,27.863666007760912,28.32062500237953,fine-tuning likely needed
A3-featureprint,0.8562664329535495,0.9184925503943909,0.8813467718375694,0.8848589763390234,855,4564,5.075833003502339,5.346500009181909,5.417959007900208,fine-tuning likely needed
B1-mobilenet_v3_small-supcon,0.8470639789658194,0.8840929009640666,0.8614190768331872,0.8647848827832866,855,4564,,,,fine-tuning likely needed
A1-dinov2-gem,0.8347940403155127,0.8871603856266433,0.8566096990943617,0.8594899750616264,855,4564,4.266750009264797,5.296041999827139,5.457375009427778,fine-tuning likely needed
A1-dinov2-gem-518,0.8275635407537248,0.8819018404907976,0.8485210341805433,0.8519747871022859,855,4564,26.49958299298305,27.525917001185007,27.88166700338479,fine-tuning likely needed
