gallery_idx,album_label,nn_distance,album_image_count
288,407,0.223922,2
289,353,0.255342,5
290,19,0.17891,18
291,214,0.197602,3
292,36,0.400082,4
293,267,0.208103,2
294,553,0.254557,14
295,289,0.201415,24
296,34,0.208213,3
297,75,0.178329,2
298,133,0.272108,2
299,770,0.201719,9
300,365,0.255342,12
301,628,0.193607,13
302,772,0.272381,2
303,670,0.184702,4
304,850,0.178329,3
305,485,0.163568,5
306,256,0.187989,2
307,439,0.216036,2
308,646,0.206983,4
309,691,0.895192,2
310,626,0.895192,2
311,699,0.186026,3
312,342,0.193498,4
313,363,0.307622,20
314,185,0.226308,2
315,416,0.19025,3
316,732,0.275746,2
317,354,0.247262,15
318,144,0.240479,6
319,677,0.228981,6
320,221,0.198883,5
321,395,0.249088,2
322,795,0.162064,2
323,64,0.247262,3
324,366,0.238497,2
325,314,0.17016,5
326,793,0.192065,12
327,666,0.339762,4
328,429,0.339762,5
329,100,0.172334,2
330,336,0.215466,9
331,550,0.219465,4
332,437,0.200663,8
333,521,0.232218,5
334,612,0.203225,2
335,448,0.225243,5
336,495,0.255087,15
337,154,0.18947,3
338,849,0.300965,2
339,743,0.254557,3
340,160,0.242427,2
341,679,0.183392,8
342,456,0.200632,4
343,84,0.177892,5
344,321,0.251248,3
345,644,0.242427,2
346,423,0.173352,6
347,52,0.203593,30
348,207,0.202924,14
349,681,0.244971,5
350,661,0.240864,9
351,430,0.238513,2
352,777,0.29207,12
353,786,0.283529,7
354,833,0.204067,9
355,303,0.283529,2
356,591,0.290226,14
357,755,0.195948,7
358,804,0.211887,11
359,33,0.236451,3
360,714,0.206333,26
361,535,0.191443,17
362,598,0.228472,9
363,662,0.293225,2
364,443,0.293225,3
365,473,0.213782,2
366,397,0.250997,2
367,639,0.204374,3
368,515,0.20843,4
369,698,0.180781,3
370,769,0.240207,4
371,563,0.218108,2
372,528,0.210906,5
373,385,0.193901,2
374,58,0.506996,4
375,853,0.506996,2
376,413,0.167425,2
377,176,0.193281,27
378,750,0.252351,5
379,524,0.451339,3
380,414,0.212069,9
381,560,0.18947,2
382,532,0.259,2
383,717,0.451339,2
384,281,0.488652,6
385,589,0.177963,23
386,261,0.198075,3
387,178,0.179018,32
388,693,0.226549,11
389,723,0.170135,26
390,821,0.404871,50
391,842,0.175675,31
392,836,0.179628,26
393,198,0.247011,20
394,204,0.404871,10
395,785,0.488652,5
396,20,0.187608,3
397,335,0.242818,2
398,80,0.286083,3
399,249,0.228896,2
400,622,0.193048,2
401,794,0.245705,2
402,803,0.27455,2
403,398,0.228596,7
404,251,0.234679,2
405,268,0.234871,3
406,817,0.306854,2
407,266,0.283213,4
408,721,0.241146,4
409,39,0.167033,2
410,431,0.27455,2
411,487,0.219074,3
412,322,0.206542,2
413,789,0.295548,2
414,840,0.21193,11
415,227,0.193651,3
416,631,0.177374,2
417,226,0.195395,2
418,279,0.186233,4
419,759,0.194653,3
420,469,0.269806,3
421,275,0.231384,2
422,334,0.271614,2
423,700,0.218221,2
424,165,0.159195,5
425,724,0.222539,2
426,708,0.207752,2
427,173,0.227743,10
428,812,0.184415,3
429,202,0.278107,8
430,844,0.225534,2
431,286,0.147863,23
432,841,0.219675,3
433,127,0.226308,3
434,748,0.184759,2
435,81,0.195954,39
436,725,0.166803,2
437,672,0.227143,18
438,187,0.210337,35
439,372,0.218144,2
440,375,0.182699,2
441,566,0.196585,35
442,145,0.221354,2
443,92,0.203071,4
444,253,0.170225,3
445,547,0.198771,2
446,340,0.168695,8
447,709,0.143868,4
448,246,0.265149,5
449,15,0.252917,12
450,642,0.18312,30
451,137,0.214032,2
452,727,0.295548,2
453,736,0.322234,2
454,24,0.229283,13
455,682,0.214862,6
456,283,0.275746,3
457,744,0.218189,3
458,492,0.233564,2
459,427,0.17797,2
460,588,0.232609,2
461,471,0.222881,19
462,391,0.257274,2
463,89,0.215189,6
464,673,0.250823,3
465,297,0.189891,4
466,635,0.217572,3
467,96,0.222186,2
468,418,0.215093,2
469,484,0.220064,2
470,733,0.191769,2
471,753,0.210863,2
472,358,0.283213,3
473,121,0.181931,7
474,343,0.222186,2
475,461,0.207091,2
476,299,0.236192,2
477,140,0.311467,2
478,581,0.227313,2
479,583,0.246459,2
480,126,0.1894,2
481,460,0.265214,2
482,294,0.218115,4
483,381,0.211988,19
484,663,0.223075,6
485,12,0.346916,14
486,70,0.232487,3
487,787,0.616871,34
488,648,0.616871,2
489,468,0.187144,15
490,848,0.265214,2
491,614,0.239297,4
492,290,0.191509,4
493,690,0.170659,2
494,808,0.207825,19
495,544,0.378716,14
496,150,0.174234,4
497,498,0.184177,2
498,0,0.201046,3
499,211,0.176735,15
500,539,0.194974,26
501,132,0.195212,19
502,823,0.249088,4
503,42,0.200872,8
504,773,0.998555,3
505,615,0.207626,5
506,269,0.998555,2
507,378,0.238078,2
508,61,0.152825,3
509,116,0.157924,3
510,606,0.215466,7
511,156,0.178588,5
512,382,0.217847,2
513,824,0.155983,2
514,5,0.225185,2
515,742,0.247349,2
516,45,0.295612,6
517,765,0.148914,3
518,506,0.209908,12
519,94,0.195512,14
520,208,0.21285,10
521,586,0.21285,2
522,245,0.170527,13
523,464,0.20462,8
524,157,0.253539,2
525,203,0.130139,4
526,346,0.15581,4
527,643,0.211471,18
528,796,0.178075,2
529,330,0.200015,2
530,312,0.181673,2
